Map,Team Name,Player Name,Player Kills
Map 1,SSG,Phony,3
Map 1,SSG,Xynew,4
Map 1,SSG,Koyful,4
Map 1,NRG,Nocturnal,3
Map 1,NRG,FunFPS,3
Map 1,NRG,Reptar,0
Map 1,Cloud9,sauceror,0
Map 1,Cloud9,ChaoticMuch,0
Map 1,Cloud9,Naughty,2
Map 1,FURIA,ImMadness,0
Map 1,FURIA,Keon,0
Map 1,FURIA,Vaxlon,1
Map 1,Team Falcons,Zer0,0
Map 1,Team Falcons,Genburten,0
Map 1,Team Falcons,Imperialhal,3
Map 1,Elev8 Gaming,Zachmazer,0
Map 1,Elev8 Gaming,iuxford,2
Map 1,Elev8 Gaming,Slayr,1
Map 1,YUP,xenial,0
Map 1,YUP,OsivienTv,0
Map 1,YUP,dooplex,1
Map 1,Native Gaming,RamBeau,0
Map 1,Native Gaming,Rkn,0
Map 1,Native Gaming,McLovin,1
Map 1,CCE,CcobraxX,0
Map 1,CCE,Twitch_Kap3,0
Map 1,CCE,Trevstacks,0
Map 1,FLAT,Nano,7
Map 1,FLAT,qzierr,2
Map 1,FLAT,Bigluie,0
Map 1,Vanity,Crook,1
Map 1,Vanity,Jaeyeon,0
Map 1,Vanity,Stuhni,7
Map 1,Tempr,Adiuvant,2
Map 1,Tempr,Cloaked,0
Map 1,Tempr,CallSpades,0
Map 1,Tripods,Deeds,0
Map 1,Tripods,Onmuu,2
Map 1,Tripods,gent,1
Map 1,Liquid Alienware,jaguaresl,0
Map 1,Liquid Alienware,NeazuI,0
Map 1,Liquid Alienware,lYanYal,1
Map 1,Most Hated,Awope,0
Map 1,Most Hated,DieNastied,1
Map 1,Most Hated,Lazurr,0
Map 1,WEAVE,shini,1
Map 1,WEAVE,LOTR31,0
Map 1,WEAVE,Rileymekinac,3
Map 1,Oxygen Esports,Aidan,2
Map 1,Oxygen Esports,Vein,0
Map 1,Oxygen Esports,Frexs,1
Map 1,Disguised,iiTzTimmy,0
Map 1,Disguised,Dezignful,0
Map 1,Disguised,Enemy,0
Map 1,STALLIONS,Jeloan,0
Map 1,STALLIONS,retzi,0
Map 1,STALLIONS,Albralelie,0
Map 1,Oblivion,Blinkzr,0
Map 1,Oblivion,Akimboh,0
Map 1,Oblivion,Reedz,0
Map 2,Liquid Alienware,jaguaresl,2
Map 2,Liquid Alienware,NeazuI,3
Map 2,Liquid Alienware,lYanYal,3
Map 2,Vanity,Crook,1
Map 2,Vanity,Jaeyeon,4
Map 2,Vanity,Stuhni,2
Map 2,FLAT,Nano,1
Map 2,FLAT,qzierr,1
Map 2,FLAT,Bigluie,2
Map 2,Team Falcons,Zer0,3
Map 2,Team Falcons,Genburten,4
Map 2,Team Falcons,Imperialhal,3
Map 2,SSG,Phony,2
Map 2,SSG,Xynew,1
Map 2,SSG,Koyful,1
Map 2,Native Gaming,RamBeau,2
Map 2,Native Gaming,Rkn,0
Map 2,Native Gaming,McLovin,1
Map 2,WEAVE,shini,0
Map 2,WEAVE,LOTR31,0
Map 2,WEAVE,Rileymekinac,0
Map 2,Oblivion,Blinkzr,1
Map 2,Oblivion,Akimboh,1
Map 2,Oblivion,Reedz,0
Map 2,Oxygen Esports,Aidan,0
Map 2,Oxygen Esports,Vein,0
Map 2,Oxygen Esports,Frexs,0
Map 2,Tempr,Adiuvant,1
Map 2,Tempr,Cloaked,1
Map 2,Tempr,CallSpades,0
Map 2,Elev8 Gaming,Zachmazer,0
Map 2,Elev8 Gaming,iuxford,0
Map 2,Elev8 Gaming,Slayr,0
Map 2,Tripods,Deeds,3
Map 2,Tripods,Onmuu,0
Map 2,Tripods,gent,0
Map 2,NRG,Nocturnal,0
Map 2,NRG,FunFPS,0
Map 2,NRG,Reptar,1
Map 2,YUP,xenial,1
Map 2,YUP,OsivienTv,1
Map 2,YUP,dooplex,1
Map 2,Most Hated,Awope,1
Map 2,Most Hated,DieNastied,1
Map 2,Most Hated,Lazurr,1
Map 2,Disguised,iiTzTimmy,0
Map 2,Disguised,Dezignful,1
Map 2,Disguised,Enemy,1
Map 2,FURIA,ImMadness,0
Map 2,FURIA,Keon,0
Map 2,FURIA,Vaxlon,0
Map 2,Cloud9,sauceror,1
Map 2,Cloud9,ChaoticMuch,1
Map 2,Cloud9,Naughty,0
Map 2,CCE,CcobraxX,0
Map 2,CCE,Twitch_Kap3,0
Map 2,CCE,Trevstacks,0
Map 2,STALLIONS,Jeloan,0
Map 2,STALLIONS,retzi,0
Map 2,STALLIONS,Albralelie,0
Map 3,SSG,Phony,3
Map 3,SSG,Xynew,2
Map 3,SSG,Koyful,2
Map 3,FURIA,ImMadness,2
Map 3,FURIA,Keon,2
Map 3,FURIA,Vaxlon,7
Map 3,Most Hated,Awope,1
Map 3,Most Hated,DieNastied,3
Map 3,Most Hated,Lazurr,2
Map 3,Liquid Alienware,jaguaresl,2
Map 3,Liquid Alienware,NeazuI,2
Map 3,Liquid Alienware,lYanYal,1
Map 3,STALLIONS,Jeloan,0
Map 3,STALLIONS,retzi,0
Map 3,STALLIONS,Albralelie,1
Map 3,CCE,CcobraxX,0
Map 3,CCE,Twitch_Kap3,1
Map 3,CCE,Trevstacks,0
Map 3,FLAT,Nano,1
Map 3,FLAT,qzierr,1
Map 3,FLAT,Bigluie,0
Map 3,Tripods,Deeds,3
Map 3,Tripods,Onmuu,1
Map 3,Tripods,gent,0
Map 3,Oxygen Esports,Aidan,1
Map 3,Oxygen Esports,Vein,2
Map 3,Oxygen Esports,Frexs,1
Map 3,Cloud9,sauceror,2
Map 3,Cloud9,ChaoticMuch,2
Map 3,Cloud9,Naughty,1
Map 3,Oblivion,Blinkzr,1
Map 3,Oblivion,Akimboh,0
Map 3,Oblivion,Reedz,1
Map 3,NRG,Nocturnal,0
Map 3,NRG,FunFPS,0
Map 3,NRG,Reptar,1
Map 3,YUP,xenial,0
Map 3,YUP,OsivienTv,1
Map 3,YUP,dooplex,0
Map 3,Native Gaming,RamBeau,0
Map 3,Native Gaming,Rkn,0
Map 3,Native Gaming,McLovin,1
Map 3,Elev8 Gaming,Zachmazer,1
Map 3,Elev8 Gaming,iuxford,0
Map 3,Elev8 Gaming,Slayr,0
Map 3,Team Falcons,Zer0,1
Map 3,Team Falcons,Genburten,1
Map 3,Team Falcons,Imperialhal,0
Map 3,Vanity,Crook,0
Map 3,Vanity,Jaeyeon,0
Map 3,Vanity,Stuhni,0
Map 3,Disguised,iiTzTimmy,1
Map 3,Disguised,Dezignful,1
Map 3,Disguised,Enemy,2
Map 3,WEAVE,shini,0
Map 3,WEAVE,LOTR31,1
Map 3,WEAVE,Rileymekinac,0
Map 3,Tempr,Adiuvant,0
Map 3,Tempr,Cloaked,0
Map 3,Tempr,CallSpades,0
Map 4,Oxygen Esports,Aidan,0
Map 4,Oxygen Esports,Vein,5
Map 4,Oxygen Esports,Frexs,2
Map 4,Oblivion,Blinkzr,3
Map 4,Oblivion,Akimboh,3
Map 4,Oblivion,Reedz,3
Map 4,WEAVE,shini,4
Map 4,WEAVE,LOTR31,3
Map 4,WEAVE,Rileymekinac,1
Map 4,Native Gaming,RamBeau,1
Map 4,Native Gaming,Rkn,0
Map 4,Native Gaming,McLovin,1
Map 4,CCE,CcobraxX,0
Map 4,CCE,Twitch_Kap3,3
Map 4,CCE,Trevstacks,1
Map 4,YUP,xenial,0
Map 4,YUP,OsivienTv,0
Map 4,YUP,dooplex,2
Map 4,NRG,Nocturnal,0
Map 4,NRG,FunFPS,0
Map 4,NRG,Reptar,1
Map 4,FLAT,Nano,3
Map 4,FLAT,qzierr,1
Map 4,FLAT,Bigluie,1
Map 4,Tripods,Deeds,0
Map 4,Tripods,Onmuu,1
Map 4,Tripods,gent,1
Map 4,Liquid Alienware,jaguaresl,1
Map 4,Liquid Alienware,NeazuI,2
Map 4,Liquid Alienware,lYanYal,0
Map 4,Cloud9,sauceror,0
Map 4,Cloud9,ChaoticMuch,0
Map 4,Cloud9,Naughty,0
Map 4,Vanity,Crook,2
Map 4,Vanity,Jaeyeon,0
Map 4,Vanity,Stuhni,1
Map 4,Most Hated,Awope,0
Map 4,Most Hated,DieNastied,0
Map 4,Most Hated,Lazurr,0
Map 4,FURIA,ImMadness,0
Map 4,FURIA,Keon,0
Map 4,FURIA,Vaxlon,0
Map 4,STALLIONS,Jeloan,0
Map 4,STALLIONS,retzi,1
Map 4,STALLIONS,Albralelie,2
Map 4,Team Falcons,Zer0,1
Map 4,Team Falcons,Genburten,0
Map 4,Team Falcons,Imperialhal,1
Map 4,Elev8 Gaming,Zachmazer,0
Map 4,Elev8 Gaming,iuxford,0
Map 4,Elev8 Gaming,Slayr,2
Map 4,SSG,Phony,0
Map 4,SSG,Xynew,0
Map 4,SSG,Koyful,0
Map 4,Disguised,iiTzTimmy,0
Map 4,Disguised,Dezignful,0
Map 4,Disguised,Enemy,0
Map 4,Tempr,Adiuvant,0
Map 4,Tempr,Cloaked,0
Map 4,Tempr,CallSpades,0
Map 5,Oblivion,Blinkzr,3
Map 5,Oblivion,Akimboh,3
Map 5,Oblivion,Reedz,3
Map 5,NRG,Nocturnal,0
Map 5,NRG,FunFPS,0
Map 5,NRG,Reptar,0
Map 5,STALLIONS,Jeloan,0
Map 5,STALLIONS,retzi,0
Map 5,STALLIONS,Albralelie,3
Map 5,WEAVE,shini,1
Map 5,WEAVE,LOTR31,2
Map 5,WEAVE,Rileymekinac,2
Map 5,CCE,CcobraxX,0
Map 5,CCE,Twitch_Kap3,0
Map 5,CCE,Trevstacks,2
Map 5,FURIA,ImMadness,5
Map 5,FURIA,Keon,3
Map 5,FURIA,Vaxlon,3
Map 5,Liquid Alienware,jaguaresl,1
Map 5,Liquid Alienware,NeazuI,1
Map 5,Liquid Alienware,lYanYal,0
Map 5,Team Falcons,Zer0,1
Map 5,Team Falcons,Genburten,2
Map 5,Team Falcons,Imperialhal,5
Map 5,Cloud9,sauceror,2
Map 5,Cloud9,ChaoticMuch,0
Map 5,Cloud9,Naughty,2
Map 5,Most Hated,Awope,2
Map 5,Most Hated,DieNastied,1
Map 5,Most Hated,Lazurr,1
Map 5,FLAT,Nano,0
Map 5,FLAT,qzierr,0
Map 5,FLAT,Bigluie,0
Map 5,YUP,xenial,1
Map 5,YUP,OsivienTv,0
Map 5,YUP,dooplex,1
Map 5,Tripods,Deeds,0
Map 5,Tripods,Onmuu,0
Map 5,Tripods,gent,1
Map 5,Disguised,iiTzTimmy,0
Map 5,Disguised,Dezignful,0
Map 5,Disguised,Enemy,0
Map 5,Native Gaming,RamBeau,0
Map 5,Native Gaming,Rkn,0
Map 5,Native Gaming,McLovin,0
Map 5,SSG,Phony,1
Map 5,SSG,Xynew,0
Map 5,SSG,Koyful,1
Map 5,Vanity,Crook,0
Map 5,Vanity,Jaeyeon,0
Map 5,Vanity,Stuhni,0
Map 5,Oxygen Esports,Aidan,0
Map 5,Oxygen Esports,Vein,0
Map 5,Oxygen Esports,Frexs,0
Map 5,Elev8 Gaming,Zachmazer,0
Map 5,Elev8 Gaming,iuxford,0
Map 5,Elev8 Gaming,Slayr,0
Map 5,Tempr,Adiuvant,0
Map 5,Tempr,Cloaked,0
Map 5,Tempr,CallSpades,0
Map 6,Team Falcons,Zer0,4
Map 6,Team Falcons,Genburten,4
Map 6,Team Falcons,Imperialhal,2
Map 6,Vanity,Crook,3
Map 6,Vanity,Jaeyeon,1
Map 6,Vanity,Stuhni,2
Map 6,FLAT,Nano,0
Map 6,FLAT,qzierr,0
Map 6,FLAT,Bigluie,2
Map 6,Disguised,iiTzTimmy,3
Map 6,Disguised,Dezignful,0
Map 6,Disguised,Enemy,3
Map 6,SSG,Phony,0
Map 6,SSG,Xynew,2
Map 6,SSG,Koyful,1
Map 6,CCE,CcobraxX,1
Map 6,CCE,Twitch_Kap3,0
Map 6,CCE,Trevstacks,0
Map 6,Most Hated,Awope,1
Map 6,Most Hated,DieNastied,2
Map 6,Most Hated,Lazurr,1
Map 6,STALLIONS,Jeloan,1
Map 6,STALLIONS,retzi,0
Map 6,STALLIONS,Albralelie,1
Map 6,Liquid Alienware,jaguaresl,3
Map 6,Liquid Alienware,NeazuI,1
Map 6,Liquid Alienware,lYanYal,1
Map 6,NRG,Nocturnal,0
Map 6,NRG,FunFPS,1
Map 6,NRG,Reptar,0
Map 6,Cloud9,sauceror,0
Map 6,Cloud9,ChaoticMuch,0
Map 6,Cloud9,Naughty,0
Map 6,Tempr,Adiuvant,2
Map 6,Tempr,Cloaked,2
Map 6,Tempr,CallSpades,0
Map 6,YUP,xenial,0
Map 6,YUP,OsivienTv,0
Map 6,YUP,dooplex,1
Map 6,Tripods,Deeds,0
Map 6,Tripods,Onmuu,0
Map 6,Tripods,gent,0
Map 6,Oblivion,Blinkzr,0
Map 6,Oblivion,Akimboh,2
Map 6,Oblivion,Reedz,1
Map 6,FURIA,ImMadness,0
Map 6,FURIA,Keon,0
Map 6,FURIA,Vaxlon,0
Map 6,WEAVE,shini,0
Map 6,WEAVE,LOTR31,0
Map 6,WEAVE,Rileymekinac,0
Map 6,Oxygen Esports,Aidan,0
Map 6,Oxygen Esports,Vein,1
Map 6,Oxygen Esports,Frexs,0
Map 6,Elev8 Gaming,Zachmazer,0
Map 6,Elev8 Gaming,iuxford,2
Map 6,Elev8 Gaming,Slayr,2
Map 6,Native Gaming,RamBeau,2
Map 6,Native Gaming,Rkn,0
Map 6,Native Gaming,McLovin,0
